"cls_final","subject_name","V1","V2"
"cls_339","Biochemistry, Genetics and Molecular Biology",129.053728503374,209.157268178638
"cls_34","Materials Science",128.301088096761,226.229314176125
"cls_340","Medicine",130.136883443058,191.454209920604
"cls_341","Computer Science",117.718204327692,213.22063377359
"cls_342","Physics and Astronomy",128.537406073067,215.909996705594
"cls_343","Medicine",127.29376559275,209.772640642486
"cls_344","Materials Science",138.206838905481,223.261091714702
"cls_345","Medicine",132.110244933367,187.556742370867
"cls_346","Social Sciences",109.003480264206,200.959878232273
"cls_347","Medicine",127.505700227739,199.890857388064
"cls_348","Computer Science",124.877899866174,210.215871070354
"cls_349","Medicine",124.717251436741,209.126486008405
"cls_35","Medicine",129.923940678951,187.426569052584
"cls_350","Medicine",124.844225392046,203.384671642524
"cls_36","Medicine",135.653342197859,184.120974195568
"cls_37","Medicine",142.500890427184,203.489952426783
"cls_38","Physics and Astronomy",122.077913998762,221.534254340588
"cls_39","Materials Science",140.986854981809,220.28245739879
"cls_4","Materials Science",135.272327533218,230.56008400469
"cls_40","Physics and Astronomy",102.850712166429,221.319823977975
"cls_41","Materials Science",129.273217148084,220.067543157981
"cls_42","Medicine",131.630104021995,207.900016277212
"cls_43","Materials Science",143.551311361537,225.044173641045
"cls_44","Biochemistry, Genetics and Molecular Biology",139.797712721279,200.699438593237
"cls_45","Physics and Astronomy",104.785226828181,230.364403962483
"cls_46","Biochemistry, Genetics and Molecular Biology",136.700827890155,197.390475847719
"cls_47","Medicine",132.601520251652,195.128312189779
"cls_48","Biochemistry, Genetics and Molecular Biology",132.705735734157,187.082387588068
"cls_49","Chemistry",138.614025005854,220.667007241517
"cls_5","Materials Science",139.710752512676,225.522077607067
"cls_50","Chemistry",138.333617647449,227.178808967259
"cls_51","Engineering",98.2165171483878,214.779706194839
"cls_52","Physics and Astronomy",110.111597254366,234.26832044838
"cls_53","Medicine",135.637665043648,198.3876262422
"cls_54","Immunology and Microbiology",143.21677475353,197.617214642092
"cls_55","Materials Science",143.949618561614,225.865033967432
"cls_56","Medicine",142.013246555525,196.576051308147
"cls_57","Medicine",145.030111304649,200.849651571585
"cls_58","Chemistry",130.095240542865,215.461806249729
"cls_59","Physics and Astronomy",123.924806244357,230.40229430303
"cls_6","Chemistry",147.651656835211,226.325322453962
"cls_60","Biochemistry, Genetics and Molecular Biology",138.228346170275,206.182251677066
"cls_61","Chemistry",137.898181313548,226.975297288749
"cls_62","Earth and Planetary Sciences",114.573201918309,210.517475624736
"cls_63","Biochemistry, Genetics and Molecular Biology",138.501915473644,196.332707448869
"cls_64","Physics and Astronomy",115.703539895814,230.460790248966
"cls_65","Medicine",114.083757313822,203.970861610327
"cls_66","Medicine",130.844338320945,187.301150842233
"cls_67","Materials Science",119.613643353262,229.061872536708
"cls_68","Earth and Planetary Sciences",105.81732647014,220.678391861177
"cls_69","Physics and Astronomy",131.20223898486,231.589125996011
"cls_7","Physics and Astronomy",124.764238129081,238.558272597913
"cls_70","Computer Science",100.645469077172,208.692315506873
"cls_71","Biochemistry, Genetics and Molecular Biology",130.935109582623,193.879220101255
"cls_72","Materials Science",129.571095277474,230.364046771931
"cls_73","Medicine",143.657211758469,199.140942321617
"cls_74","Biochemistry, Genetics and Molecular Biology",140.507132524464,192.418001268147
"cls_75","Materials Science",127.057833042416,228.57755742097
"cls_76","Medicine",145.821048919436,200.155595175402
"cls_77","Biochemistry, Genetics and Molecular Biology",119.870702859269,207.627381106944
"cls_78","Biochemistry, Genetics and Molecular Biology",142.816042819032,207.883193796604
"cls_79","Chemistry",145.87413252985,213.588462877695
"cls_8","Materials Science",137.832308814409,233.72286990528
"cls_80","Biochemistry, Genetics and Molecular Biology",136.716911228987,208.836019869968
"cls_81","Biochemistry, Genetics and Molecular Biology",133.54308346257,191.989266971258
"cls_82","Materials Science",138.155923761838,218.354026786793
"cls_83","Medicine",139.280153410613,200.142093194019
"cls_84","Chemistry",136.200290174825,210.79765299747
"cls_85","Biochemistry, Genetics and Molecular Biology",132.99823700011,190.407619380431
"cls_86","Medicine",124.556690994876,194.089460840526
"cls_87","Earth and Planetary Sciences",111.698450283803,225.955034554816
"cls_88","Biochemistry, Genetics and Molecular Biology",127.266277488198,207.061561058787
"cls_89","Medicine",133.877562656471,203.438867930986
"cls_9",NA,102.772047105559,238.58493913229
"cls_90","Materials Science",133.619822554125,219.375069022832
"cls_91","Medicine",141.214059562141,207.928184721387
"cls_92","Medicine",121.450367266623,200.053430243512
"cls_93","Medicine",124.703576008724,190.022149247658
"cls_94","Materials Science",138.207802444132,225.394331635695
"cls_95","Materials Science",136.34296353371,221.065012257787
"cls_96","Materials Science",126.283201674127,225.620589001085
"cls_97","Environmental Science",112.966460176018,206.246429650798
"cls_98","Physics and Astronomy",101.350385178847,239.51897968515
"cls_99","Engineering",103.523374833066,214.955757078253
"cls_res1","Medicine",128.866025234821,210.639629807159
"cls_res10","Chemical Engineering",156.0839918017,215.087740951112
"cls_res108","Pharmacology, Toxicology and Pharmaceutics",154.306685314723,236.047285200252
"cls_res109",NA,114.088175610881,189.901039937312
"cls_res11","Chemistry",116.746796119569,232.646794849522
"cls_res110","Computer Science",109.343265436149,161.596850432127
"cls_res112","Earth and Planetary Sciences",85.080082386092,161.063385611487
"cls_res115","Earth and Planetary Sciences",151.5788725977,210.011371440944
"cls_res124","Business, Management and Accounting",91.4621812849485,181.253977020186
"cls_res126","Engineering",77.9122447887728,208.598044129655
"cls_res127","Energy",75.6088502798351,256.602569329904
"cls_res128","Physics and Astronomy",157.011108207673,238.685223161985
"cls_res13","Chemistry",166.077289859078,223.484205964396
"cls_res134",NA,82.4844583470104,199.735369169052
"cls_res135","Earth and Planetary Sciences",175.874456569201,206.837575376522
"cls_res139",NA,92.4807159663441,231.390575312719
"cls_res14","Chemistry",150.799267265076,215.088843918024
"cls_res142","Engineering",52.4316968525254,197.447762255187
"cls_res143","Medicine",115.59522373413,168.712939400574
"cls_res145","Decision Sciences",74.1691091878595,167.748851638787
"cls_res148","Medicine",150.479668131419,192.856248909415
"cls_res152","Psychology",99.7283027912069,173.366162996542
"cls_res153","Immunology and Microbiology",141.787963390953,184.24556909379
"cls_res156","Medicine",134.404789574805,176.363444893531
"cls_res157","Medicine",120.53104665845,179.176279833124
"cls_res163","Social Sciences",102.364411801983,169.497815323854
"cls_res166",NA,117.729478729839,235.454327125764
"cls_res168","Environmental Science",127.504416380623,247.792347880796
"cls_res173",NA,155.247814601906,222.022777015787
"cls_res176","Business, Management and Accounting",155.695673763053,205.698636552209
"cls_res180","Medicine",96.7479608818464,199.864119068516
"cls_res182","Agricultural and Biological Sciences",162.196949180401,222.458999529385
"cls_res183",NA,98.5748911214233,229.442643537531
"cls_res185","Chemistry",155.04318112753,224.565512766821
"cls_res187","Computer Science",142.427368222057,168.265407276147
"cls_res190","Engineering",150.552547798738,257.270383297383
"cls_res191",NA,145.427863913258,239.431293947028
"cls_res192","Physics and Astronomy",91.5570106670394,236.069861888004
"cls_res197","Neuroscience",137.246471359711,170.697003486007
"cls_res200",NA,160.741715602798,207.259589283383
"cls_res201","Decision Sciences",112.986348258237,169.230000547068
"cls_res202","Medicine",122.421992988582,168.358158279431
"cls_res208","Computer Science",86.7204888700662,201.709304282441
"cls_res211","Earth and Planetary Sciences",NA,NA
"cls_res224",NA,104.97647693879,185.953694136082
"cls_res228",NA,159.922935033248,223.47200541439
"cls_res23","Medicine",157.384148899261,203.666315486861
"cls_res233",NA,92.2839225571772,183.676322514923
"cls_res234","Business, Management and Accounting",84.7855912109742,228.728497493843
"cls_res235","Medicine",112.998485833907,174.32278152548
"cls_res237",NA,71.4778206435901,210.695363325092
"cls_res238",NA,94.596622629456,208.112755448937
"cls_res24","Medicine",137.661020382363,162.815812172153
"cls_res240","Engineering",NA,NA
"cls_res244","Chemistry",166.783835190538,203.679514511738
"cls_res245",NA,151.697478328026,189.094970286071
"cls_res248","Earth and Planetary Sciences",86.027912398025,220.793794085388
"cls_res25","Social Sciences",120.023556537921,163.742278578522
"cls_res250","Psychology",106.676265140947,183.019496960204
"cls_res252","Business, Management and Accounting",85.8883809896487,168.860105965557
"cls_res254","Agricultural and Biological Sciences",137.063962928323,222.523667189222
"cls_res256","Decision Sciences",104.843675416645,165.271695720273
"cls_res259","Engineering",NA,NA
"cls_res26","Physics and Astronomy",110.0379581625,252.253193855169
"cls_res260","Medicine",95.5283247633387,192.411646310368
"cls_res264","Social Sciences",114.076286335919,161.474216934295
"cls_res267","Medicine",92.7563797132775,207.6328636034
"cls_res276","Medicine",116.48494944972,177.878676356847
"cls_res281","Agricultural and Biological Sciences",106.918064449774,157.966527638228
"cls_res283","Materials Science",112.697829980486,264.467660537664
"cls_res286","Chemistry",154.65378919461,230.391364243787
"cls_res29","Earth and Planetary Sciences",176.887277760413,235.215274234895
"cls_res293","Chemistry",157.838544726349,235.631145403341
"cls_res297","Chemical Engineering",160.070168443317,230.471268787051
"cls_res30","Mathematics",169.64334862037,217.030516350252
"cls_res303","Materials Science",139.059400791613,241.396674300736
"cls_res305","Social Sciences",83.9666779029966,218.01356073566
"cls_res306","Medicine",157.071007699234,187.97748649267
"cls_res311",NA,102.954569551092,187.726645580619
"cls_res318","Physics and Astronomy",123.302539807198,245.123592744481
"cls_res321","Physics and Astronomy",117.097470163035,220.525784609986
"cls_res326","Medicine",154.893108003296,205.570350863119
"cls_res328","Biochemistry, Genetics and Molecular Biology",152.727834051295,208.491552493614
"cls_res33","Mathematics",84.9902511654426,183.121612681151
"cls_res336","Biochemistry, Genetics and Molecular Biology",141.777147135352,186.334816821353
"cls_res34","Medicine",148.818510191014,172.086197631531
"cls_res340","Neuroscience",113.262284271642,183.660362592541
"cls_res342",NA,83.9902696168063,195.525863151639
"cls_res346","Chemistry",165.5027420058,207.257807447713
"cls_res347","Medicine",142.231764076062,232.050963445385
"cls_res35","Earth and Planetary Sciences",156.02282352378,217.69439273208
"cls_res355",NA,96.3443748012729,244.593635575117
"cls_res356",NA,95.5358393990296,241.749466337807
"cls_res36",NA,144.885073234008,259.137542452236
"cls_res365","Medicine",119.515133849014,175.60250599949
"cls_res367","Computer Science",96.0456857690046,195.579482112561
"cls_res368","Environmental Science",102.572145472924,181.227360365717
"cls_res376","Biochemistry, Genetics and Molecular Biology",136.094773078317,177.378834634889
"cls_res377","Arts and Humanities",NA,NA
"cls_res379","Mathematics",71.9079360160657,194.198725975507
"cls_res38","Social Sciences",116.39845575966,185.409826368896
"cls_res385","Social Sciences",70.9685250536699,202.428187982206
"cls_res388","Social Sciences",153.336875027032,166.596835009679
"cls_res389","Social Sciences",169.551983323286,188.024431242635
"cls_res39","Mathematics",NA,NA
"cls_res391",NA,78.5711951645766,224.629216313528
"cls_res398",NA,98.1714253731606,254.841680789134
"cls_res400","Physics and Astronomy",132.18017593814,245.19954042036
"cls_res409",NA,93.9517402478259,227.435680652256
"cls_res411",NA,176.878820553025,182.470326710127
"cls_res419","Medicine",132.748473380425,169.374498783174
"cls_res429","Social Sciences",165.522825389585,193.306870682848
"cls_res43","Computer Science",82.0530099379611,185.347973032008
"cls_res431","Medicine",100.549716591058,182.670607479725
"cls_res434","Medicine",174.370127501085,242.348727776581
"cls_res435","Medicine",160.826738433244,210.452837039935
"cls_res442","Medicine",129.051733225826,149.37099490148
"cls_res448","Agricultural and Biological Sciences",104.757966076771,188.865485830506
"cls_res453","Physics and Astronomy",133.938904539776,247.598460257497
"cls_res457","Physics and Astronomy",122.408402173334,249.000944669133
"cls_res461","Engineering",107.849792831818,212.216862919933
"cls_res463","Physics and Astronomy",144.076466337269,248.479586377661
"cls_res464","Computer Science",88.5165633493599,213.547408936992
"cls_res465","Engineering",88.3196739303258,206.395263550415
"cls_res468","Engineering",93.3934233832043,193.258906382111
"cls_res469","Engineering",183.994397738237,228.957849964938
"cls_res47",NA,95.6605487755261,190.504216459194
"cls_res470","Engineering",109.319047203464,249.362410646908
"cls_res471",NA,94.2122401619187,177.975031701437
"cls_res472","Engineering",96.2969378996189,189.408408795147
"cls_res477","Engineering",91.7338724360844,165.535482703064
"cls_res482","Engineering",67.6415116202703,183.678581117836
"cls_res484","Engineering",102.727589183051,174.929260361267
"cls_res489",NA,67.0608735512772,228.521335562602
"cls_res49","Medicine",156.015634854238,194.950751089408
"cls_res492","Engineering",94.3345676504722,217.858855221939
"cls_res497","Engineering",152.608568078358,185.07975333769
"cls_res5","Earth and Planetary Sciences",116.590354726609,216.059347648273
"cls_res500","Computer Science",84.6626147433332,193.930189438857
"cls_res501","Computer Science",83.9455658208996,241.004902776134
"cls_res502","Computer Science",NA,NA
"cls_res505","Computer Science",84.4862212367184,212.606515894039
"cls_res512","Physics and Astronomy",58.8480204088081,213.490094613784
"cls_res515",NA,NA,NA
"cls_res517",NA,NA,NA
"cls_res520","Computer Science",78.8967195556728,199.659844920936
"cls_res522","Engineering",93.1889448799207,210.621420568109
"cls_res53","Medicine",117.487632308312,161.726679702603
"cls_res542","Agricultural and Biological Sciences",128.820290807687,220.81579829506
"cls_res544",NA,110.402190647307,181.373194791575
"cls_res55","Biochemistry, Genetics and Molecular Biology",144.873913670359,184.003442695746
"cls_res550","Medicine",96.5039969824232,182.662947619624
"cls_res556",NA,92.0905294699516,206.949342552111
"cls_res560","Nursing",140.63312675293,156.253892394238
"cls_res572",NA,70.6471072063915,218.047991195631
"cls_res580","Medicine",157.291328189835,176.911385615073
"cls_res584","Computer Science",NA,NA
"cls_res585","Computer Science",76.6860302319881,244.067203855225
"cls_res59","Social Sciences",92.9323534324484,159.876832901796
"cls_res592",NA,126.676358170676,176.67485516156
"cls_res598","Chemistry",158.443313404944,202.010821265326
"cls_res623","Social Sciences",64.7071828512483,201.409508888249
"cls_res625","Business, Management and Accounting",88.9562704218099,196.093500545528
"cls_res63","Energy",77.3391979369338,233.012515065087
"cls_res64","Environmental Science",140.774735871994,243.046089434107
"cls_res641","Medicine",141.704900118043,168.490395567079
"cls_res642","Medicine",126.698170881574,165.25899297265
"cls_res651","Medicine",171.258061561081,223.253742738671
"cls_res655","Medicine",124.700949857003,219.545361654889
"cls_res656","Energy",130.873343930499,256.456172865896
"cls_res658",NA,159.460187068241,189.157664441239
"cls_res66","Computer Science",87.9482378883143,187.698819607389
"cls_res660","Mathematics",81.0718678639079,216.793026098313
"cls_res673",NA,61.5592126458836,174.531408724193
"cls_res68","Physics and Astronomy",106.586264741053,225.636431119134
"cls_res685","Medicine",145.47619985461,180.663810104653
"cls_res688",NA,130.643621341983,168.126844680879
"cls_res71","Engineering",131.523481886966,251.080706067476
"cls_res714",NA,NA,NA
"cls_res72","Agricultural and Biological Sciences",108.645676279563,174.784632356555
"cls_res723","Energy",NA,NA
"cls_res73","Computer Science",104.182232777991,202.798448866249
"cls_res738","Agricultural and Biological Sciences",75.5510939187285,183.106651084125
"cls_res74","Biochemistry, Genetics and Molecular Biology",139.331248644049,185.613227526869
"cls_res75","Medicine",157.999362203864,225.582545117798
"cls_res80",NA,122.375161738177,241.854861321729
"cls_res83","Biochemistry, Genetics and Molecular Biology",132.836969651231,199.582856917313
"cls_res85","Chemistry",125.882636398114,161.237039926303
"cls_res86","Chemistry",162.560484892542,243.543794548548
"cls_res89","Engineering",NA,NA
"cls_res9","Materials Science",128.961218539759,210.025079622114
"cls_res91",NA,91.0174136516236,203.936450696898
"cls_res92","Engineering",NA,NA
"cls_res94","Engineering",120.752205225378,257.568805712352
"cls_res96","Materials Science",140.467003824752,252.131718161334
"cls_res98","Computer Science",92.2199779727402,217.094778546601
